ward_number,ward_name,census_tree_count,year,total_area_m2,trees_area_m2,built_area_m2,grass_area_m2,bare_area_m2,water_area_m2,trees_pct,built_pct,grass_pct,bare_pct,water_pct
75,HADAPSAR-MUNDHAWA,40783,2021,1.768714283299045E7,1034403.2417678526,9819622.702725984,2263.971794128418,89352.39804528929,141592.75971760467,5.848334304387823,55.51842259344571,0.012800099006978153,0.5051827697044841,0.8005406020326965
22,HADAPSAR-MUNDHAWA,3551,2021,8794469.326708548,598982.4458840762,7298532.448787881,5659.136909484863,0.0,180675.66470465565,6.8108992553420356,82.99002677310443,0.06434881627590909,0.0,2.0544237291947667
54,HADAPSAR-MUNDHAWA,36377,2021,7754581.393724906,1014295.6633483588,1547328.7247127746,0.0,13821.993631220797,31045.504470825195,13.07995379568958,19.95373632888669,0.0,0.17824293703855773,0.40035048824102304
23,HADAPSAR-MUNDHAWA,304,2021,3819024.4472686695,53365.13100968903,2900439.388577266,0.0,138098.05617523193,15507.669091018977,1.3973498139781553,75.94712808533166,0.0,3.616055830016966,0.4060636244973482
49,HADAPSAR-MUNDHAWA,296,2021,4683415.688378261,119706.56364761051,3359297.2915973742,471.5071105957031,0.0,298243.14108342194,2.5559670892476687,71.72750648492206,0.010067590450399955,0.0,6.368068967772865
53,HADAPSAR-MUNDHAWA,515028,2021,2843538.038181319,332486.3404696294,1529284.4227591718,4810.834892272949,0.0,0.0,11.69269888446023,53.78104327161656,0.16918482635631918,0.0,0.0
56,HADAPSAR-MUNDHAWA,41932,2021,5137370.200200562,390486.0633010266,2367708.157880685,0.0,83209.68352732941,10296.93759954116,7.6008939999259155,46.087941215298244,0.0,1.6196941291885276,0.2004320731867672
55,HADAPSAR-MUNDHAWA,6678,2021,1.8794121929256428E7,1464359.4657118542,1.024319430160619E7,0.0,565.8548126220703,124343.75523696604,7.791582236317811,54.502116886135646,0.0,0.0030108073936735273,0.6616098145207978
48,HADAPSAR-MUNDHAWA,213,2021,1.0587209977685794E7,64230.64972740623,6361894.425351542,0.0,51215.3766822067,0.0,0.6066815512564916,60.090377339830155,0.0,0.48374762369076585,0.0
47,HADAPSAR-MUNDHAWA,1594,2021,3257888.9646601644,184799.34471767658,2835501.62209293,0.0,0.0,5187.253593444824,5.672364734411791,87.03493743497503,0.0,0.0,0.15922131324036437
41,KONDHWA-YEWALEWADI,6031,2021,1.5546035341658624E7,1438103.963243193,1.0318534018666256E7,0.0,12832.862014770508,76529.47923278809,9.250615553339918,66.37405481136234,0.0,0.08254749029408391,0.4922765036286292
38,KONDHWA-YEWALEWADI,703,2021,2911597.092022137,20988.447802076156,2816350.389580967,0.0,0.0,64255.44660949707,0.7208568747229873,96.72871281874306,0.0,0.0,2.206879749452935
